stcd,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,,,,Floor,Geom Mean,Arith Mean,Quota,,,,794110,,2,,,
OH,5759394,6646697,6907612,7946627,9706397,10730200,10797419,10887325,11374540,11568495,11693217,11808848,0.99%,,15,15.49193338,15.5,15.51409856,0.514098563,16,X,15.47697953,15,1,0.022165178,16,1
NY,10385227,12588066,13479142,14830192,16782304,18287529,17557288,18044505,19004973,19421055,19336776,20215751,4.55%,#DIV/0!,26,26.4952826,26.5,26.55882721,0.558827206,27,X,26.49528256,26,1,0.063544607,27,1
OR,783389,953786,1089684,1521341,1768687,2110810,2632663,2853733,3428543,3848606,4241507,4241500,0.00%,,5,5.477225575,5.5,5.572351262,0.572351262,6,X,5.559018855,6,0,0.095125687,6,0
NE,1296372,1377963,1315834,1325510,1411330,1496820,1570006,1584617,1715369,1831825,1937552,1963333,1.33%,,2,2.449489743,2.5,2.579366054,0.579366054,3,X,2.573194663,3,0,0.129876312,3,0
CO,939629,1035791,1123296,1325089,1753947,2226771,2888834,3307912,4311882,5044930,5807719,5782171,-0.44%,,7,7.483314774,7.5,7.596437078,0.596437078,8,X,7.578261844,8,0,0.113122305,8,0
AL,2348174,2646248,2832961,3061743,3266740,3475885,3890061,4062608,4461130,4802982,4921532,5030053,2.21%,,6,6.480740698,6.5,6.608327757,0.608327757,7,X,6.592516673,7,0,0.127587059,7,0
SC,1683724,1738765,1899804,2117027,2382594,2617320,3119208,3505707,4025061,4645975,5218040,5124712,-1.79%,,6,6.480740698,6.5,6.732687818,0.732687818,7,X,6.71657919,7,0,0.25194712,7,0
NC,2559123,3170276,3571623,4061929,4556155,5125230,5874429,6657630,8067673,9565781,10600823,10453948,-1.39%,,13,13.49073756,13.5,13.73407293,0.734072929,14,X,13.70121279,14,0,0.243335366,14,0
CT,1380631,1606903,1709242,2007280,2535234,3050693,3107576,3295669,3409535,3581628,3557006,3608298,1.44%,,4,4.472135955,4.5,4.740470096,0.740470096,5,X,4.729128048,5,0,0.268334141,5,0
WI,2632067,2939006,3137587,3434575,3951777,4447013,4705335,4906745,5371210,5698230,5832655,5897473,1.11%,,7,7.483314774,7.5,7.747917273,0.747917273,8,X,7.729379607,8,0,0.264602499,8,0
WY,194402,225565,250742,290529,330066,335719,470816,455975,495304,568300,582328,577719,-0.79%,,0,1,0.5,0.758989319,0.758989319,1,X,0.757173362,1,0,-0.241010681,1,0
